"emp_no","first_name","last_name","title","from_date","to_date"
10016,"Kazuhito","Cappelletti","Staff","1998-02-11","9999-01-01"
10022,"Shahaf","Famili","Engineer","1999-09-03","9999-01-01"
10024,"Suzette","Pettey","Assistant Engineer","1998-06-14","9999-01-01"
10026,"Yongqiao","Berztiss","Engineer","1995-03-20","2001-03-19"
10026,"Yongqiao","Berztiss","Senior Engineer","2001-03-19","9999-01-01"
10054,"Mayumi","Schueller","Senior Staff","2000-07-28","9999-01-01"
10054,"Mayumi","Schueller","Staff","1995-07-29","2000-07-28"
10084,"Tuval","Kalloufi","Engineer","1995-12-15","2001-12-14"
10084,"Tuval","Kalloufi","Senior Engineer","2001-12-14","9999-01-01"
10093,"Sailaja","Desikan","Staff","1997-06-08","9999-01-01"
10120,"Armond","Fairtlough","Engineer","1996-07-06","9999-01-01"
10139,"Ewing","Foong","Engineer","1998-03-15","9999-01-01"
10148,"Douadi","Azumi","Staff","1996-07-15","9999-01-01"
10172,"Shigeu","Matzen","Engineer","1998-02-04","9999-01-01"
10183,"Mechthild","Bonifati","Staff","1996-08-11","9999-01-01"
10199,"Kazuhisa","Ranta","Staff","1998-02-07","9999-01-01"
10218,"Zhenhua","Magalhaes","Senior Engineer","1997-01-31","9999-01-01"
10230,"Clyde","Vernadat","Senior Staff","2002-06-16","9999-01-01"
10230,"Clyde","Vernadat","Staff","1996-06-16","2002-06-16"
10231,"Shaowen","Desikan","Staff","1998-09-09","9999-01-01"
10235,"Susanta","Roccetti","Senior Engineer","1995-04-06","9999-01-01"
10236,"Susumu","Bade","Staff","1996-08-30","9999-01-01"
10239,"Nikolaos","Llado","Staff","1996-05-04","9999-01-01"
10240,"Remko","Maccarone","Engineer","1998-10-06","9999-01-01"
10264,"Nalini","Kawashimo","Engineer","1997-07-16","9999-01-01"
10267,"Shaunak","Cullers","Engineer","1997-04-26","9999-01-01"
10284,"Masali","Murrill","Engineer","1999-07-06","9999-01-01"
10285,"Zhonghui","Preusig","Staff","1995-05-25","9999-01-01"
10334,"Falguni","Erie","Staff","1998-02-15","9999-01-01"
10337,"Jeong","Sadowsky","Assistant Engineer","1998-04-25","9999-01-01"
10348,"Mahendra","Picco","Technique Leader","1995-10-22","9999-01-01"
10352,"Erzsebet","Ohori","Engineer","1998-12-16","9999-01-01"
10360,"Irene","Munck","Staff","1996-09-04","9999-01-01"
10373,"Hongzue","Heijenga","Engineer","1997-04-26","9999-01-01"
10379,"Mikhail","Rosis","Engineer","1996-07-15","9999-01-01"
10388,"Hironoby","Kaiser","Staff","1999-05-28","9999-01-01"
10389,"Make","Peir","Technique Leader","1999-05-13","9999-01-01"
10408,"Martijn","Kaiser","Staff","1998-10-07","9999-01-01"
10409,"Mario","Straney","Engineer","1997-09-26","9999-01-01"
10423,"Dante","Cronin","Staff","1999-05-27","9999-01-01"
10437,"Narain","Reeker","Engineer","1996-04-12","9999-01-01"
10456,"Stepehn","Hardjono","Staff","2000-01-06","9999-01-01"
10459,"Ennio","Trogemann","Staff","1997-06-28","9999-01-01"
10462,"Sumali","Schlenzig","Senior Engineer","1996-03-25","9999-01-01"
10484,"Nirmal","Varley","Senior Staff","1996-12-20","9999-01-01"
10500,"Vojin","Narwekar","Engineer","1996-12-16","9999-01-01"
10506,"Kazuhisa","Kroll","Senior Engineer","1996-12-01","9999-01-01"
10527,"Tetsushi","Barvinok","Technique Leader","1996-01-25","9999-01-01"
10537,"Stella","Benzmuller","Senior Staff","1996-09-25","9999-01-01"
10543,"Lein","Lichtman","Staff","1998-11-24","9999-01-01"
10544,"Ishfaq","Krzyzanowski","Senior Staff","1995-04-29","9999-01-01"
10549,"Beshir","Kisuki","Engineer","1996-10-11","2001-10-11"
10549,"Beshir","Kisuki","Senior Engineer","2001-10-11","9999-01-01"
10552,"Kazuhito","Shiratori","Senior Engineer","1998-08-31","9999-01-01"
10562,"Shuky","Pearson","Engineer","1997-07-24","2002-07-24"
10562,"Shuky","Pearson","Senior Engineer","2002-07-24","9999-01-01"
10596,"Sanjit","Coors","Senior Staff","2001-05-23","9999-01-01"
10596,"Sanjit","Coors","Staff","1996-05-23","2001-05-23"
10603,"Wayne","Restivo","Staff","1995-07-20","9999-01-01"
10610,"Irena","Roccetti","Engineer","1997-03-30","9999-01-01"
10615,"Keung","Delgrande","Senior Staff","2002-03-10","9999-01-01"
10615,"Keung","Delgrande","Staff","1996-03-10","2002-03-10"
10626,"Danil","Deverell","Staff","1996-12-03","9999-01-01"
10647,"Tesuro","Bahk","Assistant Engineer","1997-09-03","9999-01-01"
10649,"Vitali","Welham","Senior Staff","1998-06-23","9999-01-01"
10669,"Yurij","Iisaka","Senior Staff","2001-11-17","9999-01-01"
10669,"Yurij","Iisaka","Staff","1996-11-17","2001-11-17"
10677,"Alejandra","Perng","Engineer","1999-10-13","9999-01-01"
10697,"Bluma","Hiltgen","Staff","1999-08-29","9999-01-01"
