"emp_no","first_name","last_name","to_date","title"
10016,"Kazuhito","Cappelletti","9999-01-01","Staff"
10022,"Shahaf","Famili","9999-01-01","Engineer"
10024,"Suzette","Pettey","9999-01-01","Assistant Engineer"
10026,"Yongqiao","Berztiss","9999-01-01","Senior Engineer"
10054,"Mayumi","Schueller","9999-01-01","Senior Staff"
10084,"Tuval","Kalloufi","9999-01-01","Senior Engineer"
10093,"Sailaja","Desikan","9999-01-01","Staff"
10120,"Armond","Fairtlough","9999-01-01","Engineer"
10139,"Ewing","Foong","9999-01-01","Engineer"
10148,"Douadi","Azumi","9999-01-01","Staff"
10172,"Shigeu","Matzen","9999-01-01","Engineer"
10183,"Mechthild","Bonifati","9999-01-01","Staff"
10199,"Kazuhisa","Ranta","9999-01-01","Staff"
10218,"Zhenhua","Magalhaes","9999-01-01","Senior Engineer"
10230,"Clyde","Vernadat","9999-01-01","Senior Staff"
10231,"Shaowen","Desikan","9999-01-01","Staff"
10235,"Susanta","Roccetti","9999-01-01","Senior Engineer"
10236,"Susumu","Bade","9999-01-01","Staff"
10239,"Nikolaos","Llado","9999-01-01","Staff"
10240,"Remko","Maccarone","9999-01-01","Engineer"
10264,"Nalini","Kawashimo","9999-01-01","Engineer"
10267,"Shaunak","Cullers","9999-01-01","Engineer"
10284,"Masali","Murrill","9999-01-01","Engineer"
10285,"Zhonghui","Preusig","9999-01-01","Staff"
10334,"Falguni","Erie","9999-01-01","Staff"
10337,"Jeong","Sadowsky","9999-01-01","Assistant Engineer"
10348,"Mahendra","Picco","9999-01-01","Technique Leader"
10352,"Erzsebet","Ohori","9999-01-01","Engineer"
10360,"Irene","Munck","9999-01-01","Staff"
10373,"Hongzue","Heijenga","9999-01-01","Engineer"
10379,"Mikhail","Rosis","9999-01-01","Engineer"
10388,"Hironoby","Kaiser","9999-01-01","Staff"
10389,"Make","Peir","9999-01-01","Technique Leader"
10408,"Martijn","Kaiser","9999-01-01","Staff"
10409,"Mario","Straney","9999-01-01","Engineer"
10423,"Dante","Cronin","9999-01-01","Staff"
10437,"Narain","Reeker","9999-01-01","Engineer"
10456,"Stepehn","Hardjono","9999-01-01","Staff"
10459,"Ennio","Trogemann","9999-01-01","Staff"
10462,"Sumali","Schlenzig","9999-01-01","Senior Engineer"
10484,"Nirmal","Varley","9999-01-01","Senior Staff"
10500,"Vojin","Narwekar","9999-01-01","Engineer"
10506,"Kazuhisa","Kroll","9999-01-01","Senior Engineer"
